0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:19:42 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:20:09 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:20:09 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:13 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:13 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:46 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:46 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:58 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:22:58 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:01 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:01 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:02 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:02 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:02 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:03 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:03 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:03 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:23:25 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
